,Name,playerID,Mitchell_report,allegation
51,David Segui,seguida01,y,Radomski claimed he sold 
52,Mike Stanton,stantmi02,y,Radomski claimed he met Stanton around 2001 and then sold him three kits of
53,Miguel Tejada,tejadmi01,y,"During his interview with Mitchell, "
54,Mo Vaughn,vaughmo01,y,Radomski claimed he sold 
55,Ron Villone,villoro01,y,Radomski claimed he sold six kits of 
56,Fernando Viña,vinafe01,y,Radomski claimed he sold 
57,Rondell White,whitero02,y,Radomski claimed he sold 
58,Jeff Williams,willije01,y,Radomski claimed he sold 
59,Todd Williams,willito02,y,Radomski claimed he sold 
60,Kevin Young,youngke01,y,Radomski claimed he sold 
61,Gregg Zaun,zaungr01,y,Radomski claimed he sold 
62,Rick Ankiel,ankieri01,y,"In a September 2007 article, the"
63,David Bell,bellda01,y,"In a March 2007 article,"
64,Paul Byrd,byrdpa01,y,"In an October 2007 article, the"
65,José Canseco,cansejo01,y,"In a March 2007 article,"
66,Jay Gibbons,gibboja01,y,"In a September 2007 article,"
67,Troy Glaus,glaustr01,y,"In a September 2007 article,"
68,Jason Grimsley,grimsja01,y,Grimsley was identified during a federal investigation as a Signature Pharmacy customer who had received 
69,José Guillén,guilljo01,y,"In a November 2007 article, the"
70,"Jerry Hairston, Jr.",hairsje02,y,A 
71,Darren Holmes,holmeda01,y,"In a March 2007 article,"
72,"Gary Matthews, Jr.",matthga02,y,"In a February 2007 article, the"
73,John Rocker,rockejo01,y,"In a March 2007 article,"
74,Scott Schoeneweis,schoesc01,y,"In October 2007,"
75,Ismael Valdéz,valdeis01,y,"In a November 2007 article, the"
76,Matt Williams,willima04,y,"In a November 2007 article, the"
77,Steve Woodard,woodast01,y,"In a September 2007 article, the"
78,Daniel Naulty,naultda01,y,Naulty expressed remorse for his admitted use of steroid and human growth hormone over several years as a player in both the major league and the minor leagues during a telephone interview with Mitchell Report investigators.
79,Wally Joyner,joynewa01,y,"""In an interview for this investigation, Joyner told us that he struggled with the decision whether to try steroids, but eventually he decided to use them. After taking the drugs three times, Joyner decided that he had made a mistake, discarded the rest of the pills, and never tried illegal performance-enhancing substances again."""
80,Manny Alexander,alexama02,y,"On June 30, 2000, police discovered steroids and two hypodermic needles in the glove box of Alexander's vehicle. Alexander had loaned the vehicle to a clubhouse employee of the Red Sox, Carlos Cowart, and Cowart and a friend of his were sitting in the parked vehicle when the officers approached, in the belief that the vehicle might have been stolen."
81,Ricky Bones,bonesri01,y,"In June 2000, a clubhouse attendant with the Florida Marlins discovered syringes and two kinds of steroids (stanozolol and nandrolone decanoate) in a paper bag inside Bones's locker. When questioned by Mitchell, Bones admitted that he had procured the steroids from a doctor in his native"
82,Alex Cabrera,cabreal02,y,"In September 2000, a package intended for Cabrera was delivered to the"
83,Paxton Crawford,crawfpa02,y,Crawford admitted to using human growth hormone and steroids while playing for the 
84,Juan González,gonzaju03,y,[117]
85,Mike Judd,juddmi01,y,"Around May 1999, Todd Seyler, a minor league strength and conditioning coach, began to speak to players, including Judd, about performance-enhancing drugs. Seyler stated that the players were to give money to Matt Herges or Paul Lo Duca, so they could purchase steroids. Seyler recalled that he had observed Judd inject himself with either"
86,Ricky Stone,stoneri01,y,[118]
